country|pid|rank|week
NZL|1417409|359|18042
TPE|1519712|360|18042
EGY|1656839|361|18042
BEN|1531958|362|18042
TPE|938973|363|18042
LTU|108630|364|18042
USA|109178|365|18042
JPN|1068856|366|18042
KOR|1739753|367|18042
AUS|2500630|368|18042
KOR|1281742|369|18042
LAT|163355|370|18042
SLO|398146|371|18042
UGA|221032|372|18042
MDA|1574134|373|18042
BLR|1010949|374|18042
VIE|239499|375|18042
SUR|1704651|376|18042
RUS|1180944|377|18042
FIJ|163307|378|18042
FIJ|197658|378|18042
NZL|2460616|380|18042
IND|1571939|381|18042
HUN|114007|382|18042
ARG|404639|383|18042
TUR|674125|384|18042
DOM|116550|385|18042
CRC|1072067|385|18042
GRE|1125017|387|18042
TPE|109345|388|18042
DEN|1460900|389|18042
ENG|1608261|389|18042
CZE|2199427|391|18042
SUR|280315|392|18042
CMR|1160859|392|18042
INA|114072|394|18042
HKG|1268064|395|18042
IND|467491|396|18042
BRA|1181941|397|18042
AUS|1563569|398|18042
CHN|1031052|399|18042
JPN|391573|399|18042
INA|1604877|399|18042
JPN|2917559|399|18042
NZL|1353927|403|18042
IRL|108358|404|18042
SUI|2127932|405|18042
GER|1355539|406|18042
AUT|1021776|407|18042
INA|1148306|408|18042
NGR|1161922|409|18042
SRI|1080293|409|18042
CHN|821757|411|18042
CMR|1160919|412|18042
ALG|1470600|413|18042
DEN|1005219|414|18042
IND|467647|415|18042
TTO|109189|416|18042
IRI|162133|416|18042
BAR|306553|416|18042
SWE|1140910|416|18042
GHA|1480597|420|18042
CRC|1674553|421|18042
GUA|1967065|421|18042
CZE|858774|423|18042
TOG|2070703|424|18042
KEN|116379|425|18042
EGY|1660622|425|18042
GHA|163756|427|18042
MAS|2120884|428|18042
ISL|1008064|429|18042
FIJ|163319|430|18042
RUS|816290|431|18042
NZL|2564546|431|18042
CMR|263016|433|18042
UKR|199015|434|18042
ALG|2744885|435|18042
MAC|364755|436|18042
RUS|113516|437|18042
AUS|437108|438|18042
PER|1483348|438|18042
VIE|1620674|438|18042
INA|1287485|438|18042
INA|1604805|438|18042
IND|1448597|443|18042
PER|1437988|444|18042
IRI|1029688|445|18042
BEN|1170084|446|18042
RSA|148456|447|18042
USA|455887|447|18042
PAK|2179068|447|18042
CIV|2140858|447|18042
DEN|2174679|447|18042
ENG|1187622|452|18042
INA|1943187|453|18042
GHA|1480792|454|18042
CRO|306536|455|18042
PHI|1159924|456|18042
SWE|1337328|457|18042
INA|113870|458|18042
KOR|369615|458|18042
KOR|1208500|458|18042
CUB|388532|461|18042
GER|1995299|462|18042
TTO|1496955|463|18042
JAM|1183969|463|18042
RUS|339246|465|18042
RUS|407960|465|18042
RUS|1524461|465|18042
FIJ|163318|468|18042
