country|date|pid|rank|week
DEN|6/13/2013|59156|316|5060
RSA|6/13/2013|64028|320|5060
RUS|6/13/2013|81647|321|5060
JPN|6/13/2013|88473|322|5060
TPE|6/13/2013|15802|323|5060
USA|6/13/2013|55439|323|5060
TPE|6/13/2013|50510|323|5060
KOR|6/13/2013|78739|323|5060
KOR|6/13/2013|73784|323|5060
KOR|6/13/2013|82543|323|5060
PER|6/13/2013|80894|329|5060
PER|6/13/2013|95670|329|5060
AUT|6/13/2013|72787|331|5060
GUA|6/13/2013|1208|332|5060
DOM|6/13/2013|79236|333|5060
RUS|6/13/2013|80540|334|5060
IND|6/13/2013|92125|335|5060
IND|6/13/2013|51650|336|5060
INA|6/13/2013|54150|336|5060
THA|6/13/2013|96990|338|5060
AUS|6/13/2013|67048|339|5060
SVK|6/13/2013|75188|340|5060
CRO|6/13/2013|87268|341|5060
IND|6/13/2013|97262|341|5060
CHI|6/13/2013|13785|343|5060
RUS|6/13/2013|81552|344|5060
ARG|6/13/2013|87410|345|5060
AUS|6/13/2013|72587|346|5060
DEN|6/13/2013|62600|347|5060
WAL|6/13/2013|16875|348|5060
RUS|6/13/2013|25776|349|5060
IND|6/13/2013|81029|350|5060
IRI|6/13/2013|56262|351|5060
IRI|6/13/2013|63488|351|5060
TPE|6/13/2013|68078|351|5060
BRA|6/13/2013|96037|351|5060
MAS|6/13/2013|68628|351|5060
NZL|6/13/2013|57325|356|5060
BEL|6/13/2013|48948|357|5060
GER|6/13/2013|78338|358|5060
NZL|6/13/2013|53517|359|5060
AUT|6/13/2013|71300|360|5060
RUS|6/13/2013|83512|361|5060
FRA|6/13/2013|61901|361|5060
JPN|6/13/2013|83211|361|5060
JPN|6/13/2013|98494|361|5060
ENG|6/13/2013|6084|361|5060
SUI|6/13/2013|62352|361|5060
TPE|6/13/2013|89583|361|5060
INA|6/13/2013|10020|368|5060
INA|6/13/2013|66691|368|5060
INA|6/13/2013|67513|368|5060
CRO|6/13/2013|96569|371|5060
THA|6/13/2013|64018|372|5060
KOR|6/13/2013|60908|373|5060
NED|6/13/2013|52798|374|5060
