tournament_end|tournament_id|tournament_location|tournament_name|tournament_start|tournament_type
2014-04-29 23:59|424B2349-64B9-4418-B531-3E888AC0ADD8|Gaborone, Botswana|Africa Individual Championships 2014|2014-04-27 00:00|BWF Events
2014-05-04 23:59|04A561BC-C684-4C69-BECC-E1F4362F169A|Trang, Thailand|Smiling Fish Thailand International Series 2014|2014-04-29 00:00|International Series
2014-05-04 23:59|B60820B9-621D-404D-AA4D-4CFEB83F776A|Surabaya, Indonesia|Victor Walikota Surabaya Cup 2014|2014-04-29 00:00|none
2014-05-04 23:59|24EDEF7B-C66E-4F38-8332-34B9D7EFE8B3|Riga, Latvia|Yonex Riga International 2014|2014-05-01 00:00|Future Series
2014-05-11 23:59|EA47FC91-BF97-4226-B5AB-83CA9F2A133E|Medvode, Slovenia|FZ Forza Slovenia International 2014|2014-05-08 00:00|International Series
2014-05-18 23:59|187EF5E9-FA63-4920-9627-BC4BA61A5471|Sidirokastro, Greece|Wilson Hellas International 2014|2014-05-15 00:00|International Series
2014-05-25 23:59|26EBA21A-B76C-4D79-97C3-2B68F3CB04A3|New Delhi, India|LI NING BWF THOMAS & UBER CUP FINALS 2014|2014-05-18 00:00|BWF Events
2014-05-25 23:59|CD76FFC3-ECE2-4915-A4DF-262677169D4C|Madrid, Spain|Spanish Open 2014|2014-05-22 00:00|International Challenge
2014-05-27 00:00|323B0E0A-3DBB-41A9-BB27-E0C49E4A52B0|Gaborone, Botswana|Africa Youth Games 2014|2014-05-25 00:00|Continental Junior Individual Championships
2014-06-07 23:59|A151736B-C2D3-4C68-A48F-5C1CD7745A9B|Lagos, Nigeria|Lagos International Challenge 2014|2014-06-04 00:00|International Challenge
2014-06-08 23:59|E956FBE5-CDA1-4C21-8949-E496D23118EB|Foz do Iguacu, Brazil|Mercosul International 2014|2014-06-04 00:00|International Series
2014-06-08 23:59|7596546B-7F3D-499A-90E9-90806ECA6123|Colombo, Sri Lanka|Sri Lanka Open International Badminton Challenge 2014|2014-06-04 00:00|International Challenge
2014-06-08 23:59|6986C4BD-2B57-4020-977A-1036CBB395BF|Vilnius, Lithuania|Yonex Lithuanian International 2014|2014-06-05 00:00|Future Series
2014-06-15 00:00|CC80B9BD-6286-44AA-A4C1-4DD08895509F|Tokyo, Japan|Yonex Japan Open|2014-06-10 00:00|World Superseries
2014-06-13 23:59|13BED589-C0F7-4F9F-8C7E-B1647855D961| Surakarta, Indonesia|Indonesia Para-Badminton International 2014|2014-06-11 00:00|none
2014-06-15 23:59|636240D9-B701-4464-AD91-3813EAA6EB60|Tandil, Argentina|III Argentina International 2014|2014-06-11 00:00|International Series
2014-06-15 23:59|3F4785E6-9793-40B1-84BA-BBC56E6F44AB|Rose Hill, Mauritius|Yonex Mauritius International 2014|2014-06-12 00:00|International Series
2014-06-21 23:59|415E25B3-1478-4EF1-8160-B4E9152EF265|Isa Town, Bahrain|Bahrain International Series 2014|2014-06-17 00:00|International Series
2014-06-22 00:00|957CFD68-C995-45DA-8EEE-6DD1B6F7C5FF|Jakarta, Indonesia|BCA Indonesian Open|2014-06-17 00:00|World Superseries Premier
