country|pid|rank|week
NGR|1245655|567|18173
NGR|1245721|567|18173
ESP|2099446|567|18173
ESP|2099486|567|18173
NGR|2069609|567|18173
IRI|2860807|567|18173
ZAM|1259671|578|18173
ALG|1428537|578|18173
MAS|280249|580|18173
CYP|371752|581|18173
IND|1337282|582|18173
BAN|2326174|582|18173
BAR|649960|582|18173
EGY|116346|585|18173
CMR|116406|585|18173
PAK|148676|585|18173
IND|367738|585|18173
RSA|982374|585|18173
INA|1116598|585|18173
PAK|1270682|585|18173
BRA|1448964|585|18173
TOG|1170176|585|18173
MEX|1468779|585|18173
IND|672995|585|18173
INA|2143055|585|18173
MAS|1683949|585|18173
USA|1165359|598|18173
ZAM|116349|599|18173
MAS|419622|600|18173
KOR|208020|601|18173
SCO|208042|601|18173
CAN|258326|601|18173
PYF|1663920|604|18173
MAS|1683913|605|18173
INA|118189|606|18173
NZL|2804080|607|18173
NZL|2844177|607|18173
NZL|2843984|607|18173
SGP|1336416|610|18173
MYA|2059084|611|18173
SEY|2125750|612|18173
ESP|2087103|613|18173
MAS|280247|614|18173
NZL|1359012|615|18173
MAS|318756|616|18173
AUT|163597|617|18173
ESP|108697|618|18173
GUA|113671|618|18173
BRA|239789|618|18173
INA|1271833|618|18173
BRA|2059250|618|18173
CMR|2992992|618|18173
HUN|665024|624|18173
MAS|459277|625|18173
CMR|1161019|626|18173
ALG|2082558|627|18173
NZL|1416682|628|18173
IND|467307|629|18173
FRA|2442048|630|18173
UGA|221026|631|18173
MAS|1585478|631|18173
CAN|1121799|633|18173
SUI|1234661|634|18173
EST|1214223|635|18173
DEN|243695|636|18173
AZE|1422815|636|18173
CAN|113524|638|18173
ENG|2032729|638|18173
MAS|361594|640|18173
NZL|239516|641|18173
CHN|1929085|641|18173
CHN|2902154|641|18173
FRA|314861|644|18173
BRA|353134|644|18173
VIE|1571009|646|18173
CMR|1151453|647|18173
TOG|1997019|647|18173
AZE|116426|649|18173
BEL|1608527|650|18173
SUI|1206447|651|18173
THA|1254066|652|18173
UGA|113480|653|18173
NGR|2472196|654|18173
NOR|886155|655|18173
TPE|1283561|656|18173
LUX|694967|657|18173
IND|2300718|658|18173
IRL|211734|659|18173
ENG|2371167|660|18173
SUI|311205|661|18173
CUB|1066864|662|18173
MAS|1602821|662|18173
CRC|1062933|664|18173
THA|945960|665|18173
USA|117246|666|18173
TOG|2070623|667|18173
CMR|1160949|667|18173
GRE|113977|669|18173
SGP|674154|670|18173
RSA|364786|671|18173
INA|2158396|671|18173
INA|1286146|671|18173
SCO|1465990|674|18173
ENG|211463|675|18173
AUT|248882|676|18173
BAR|116509|677|18173
MAS|116928|677|18173
UGA|118522|677|18173
UZB|1185444|677|18173
JAM|1572693|677|18173
CHI|2006432|677|18173
CHI|1661247|677|18173
IND|467775|677|18173
BRA|2526150|677|18173
NZL|392824|686|18173
USA|1987788|686|18173
USA|2588496|686|18173
PER|1483313|689|18173
NZL|419630|690|18173
ZAM|1008247|691|18173
NZL|163540|692|18173
NZL|1414738|692|18173
POR|166337|694|18173
GUA|1473506|695|18173
GUA|1473570|695|18173
PER|409890|697|18173
CZE|1622988|698|18173
BRA|1227315|699|18173
GER|1036575|700|18173
MAS|1176961|701|18173
DEN|1978096|702|18173
GRE|113978|703|18173
SCO|1466022|704|18173
VIE|109285|705|18173
PAK|1273180|705|18173
JAM|1183939|705|18173
PAK|2178468|705|18173
EGY|2180518|705|18173
MAR|2141960|705|18173
TPE|1032264|711|18173
JPN|1068774|712|18173
BEN|1150438|712|18173
GHA|1479130|712|18173
MGL|146643|715|18173
DEN|2284925|715|18173
DEN|869469|717|18173
EGY|1475745|718|18173
ARG|951496|719|18173
ARG|2169395|719|18173
ARG|2306405|719|18173
ARG|2489681|719|18173
GER|2162002|723|18173
UKR|453691|724|18173
VIE|1620494|725|18173
MAS|1212166|725|18173
SUR|108677|727|18173
SUR|108681|727|18173
NGR|116577|727|18173
PAK|220001|727|18173
BOT|280293|727|18173
IND|286557|727|18173
IND|349893|727|18173
ETH|355263|727|18173
SUR|280314|727|18173
BOT|364795|727|18173
BRA|404627|727|18173
BRA|404636|727|18173
SRI|409865|727|18173
NGR|934605|727|18173
NGR|1148739|727|18173
NGR|1144700|727|18173
NGR|1149308|727|18173
CAN|1170843|727|18173
NGR|1246003|727|18173
NGR|1144670|727|18173
INA|1199909|727|18173
SRI|1279960|727|18173
NGR|1247740|727|18173
GUA|1072187|727|18173
SUR|1704615|727|18173
RSA|1276465|727|18173
BOT|1738579|727|18173
INA|1728733|727|18173
BRA|2127797|727|18173
MEX|1082594|727|18173
AUS|934800|727|18173
PAK|1521915|727|18173
DOM|2127617|727|18173
SUR|2255370|727|18173
IND|1508376|727|18173
BOT|1313823|727|18173
IRI|2388936|727|18173
KEN|2404377|727|18173
BRA|1520421|727|18173
MAS|2147502|727|18173
NGR|2067761|727|18173
BEN|2500813|727|18173
BEN|2500768|727|18173
NGR|2069790|727|18173
NGR|2068185|727|18173
NGR|2067921|727|18173
JAM|2082854|727|18173
TPE|938799|727|18173
MEX|2144379|727|18173
ETH|2634194|727|18173
LAO|2688874|727|18173
PAK|2562957|727|18173
IRI|2779598|727|18173
IRI|2779418|727|18173
IRI|2779328|727|18173
IRI|2864585|727|18173
IRI|2864633|727|18173
IRI|2864534|727|18173
ALG|2910035|727|18173
BRA|2896317|727|18173
CUB|2897528|727|18173
USA|2903982|727|18173
JPN|1311379|727|18173
JPN|2916129|727|18173
JPN|2916083|727|18173
JPN|1647479|727|18173
CMR|2528458|727|18173
CMR|2993038|727|18173
IND|1204943|727|18173
MAR|990151|796|18173
INA|1148293|797|18173
DEN|1443878|797|18173
BRA|2420221|797|18173
BRA|2630244|797|18173
GER|108883|801|18173
MEX|1083399|801|18173
CMR|1160798|801|18173
CMR|1160676|801|18173
DEN|1244139|801|18173
PHI|466872|806|18173
MAS|459190|807|18173
INA|2457460|807|18173
KOR|1208212|809|18173
AUS|1693449|809|18173
CAN|2165569|809|18173
FIN|165982|812|18173
PYF|2010602|813|18173
MAS|886028|814|18173
DEN|1701774|814|18173
ENG|1043908|816|18173
NZL|1980633|817|18173
NZL|2139337|817|18173
NZL|2240070|817|18173
SVK|108731|820|18173
GER|1462127|821|18173
ISR|1137763|822|18173
RUS|1561760|823|18173
SWE|1663088|824|18173
SWE|1431970|824|18173
RUS|1175885|826|18173
THA|1348497|826|18173
CRC|1185506|826|18173
LAO|2479574|826|18173
ALG|1068345|830|18173
TPE|1283593|830|18173
TOG|1997055|832|18173
SLO|813676|833|18173
BUL|465189|834|18173
POL|671778|835|18173
USA|2952009|836|18173
POR|394567|837|18173
IRI|1030071|838|18173
ZIM|116361|839|18173
INA|1148296|840|18173
MAS|1276573|840|18173
MAS|206102|842|18173
RSA|283457|842|18173
CAM|393172|842|18173
INA|1463374|842|18173
NEP|1242945|842|18173
JOR|995530|842|18173
IND|2269392|842|18173
IND|663180|842|18173
HUN|1989049|850|18173
AZE|1029472|851|18173
FIN|1484650|851|18173
LUX|2062709|853|18173
NZL|118277|854|18173
USA|1006038|854|18173
USA|1681411|854|18173
THA|1694369|854|18173
IND|2013273|854|18173
MRI|252697|859|18173
DEN|2175242|860|18173
ARG|2306360|861|18173
ARG|2169437|861|18173
ENG|2158120|863|18173
MAS|1211974|863|18173
RUS|1180976|865|18173
ENG|933107|866|18173
ENG|2067678|866|18173
KOR|108076|868|18173
KOR|108077|868|18173
KOR|115926|868|18173
KOR|260165|868|18173
KOR|391555|868|18173
SUI|669110|868|18173
KOR|873960|868|18173
MAC|1591818|868|18173
KOR|1317039|868|18173
KOR|2840723|868|18173
KOR|2780575|868|18173
TUR|276122|879|18173
THA|1144174|879|18173
VIE|116103|879|18173
MAS|1552758|879|18173
TPE|869098|879|18173
PHI|2964512|879|18173
FIJ|2384452|885|18173
FIJ|197650|886|18173
FIJ|2499977|886|18173
FIJ|2853460|886|18173
FIJ|2384494|886|18173
AUS|118287|890|18173
PYF|197971|890|18173
NCL|1029179|890|18173
PYF|2839158|890|18173
PYF|2839248|890|18173
PYF|2839068|890|18173
PYF|2839113|890|18173
NZL|2584809|890|18173
POR|672536|898|18173
GHA|1025719|898|18173
ENG|2960944|898|18173
CYP|113852|901|18173
SWE|1148267|902|18173
GUA|2130152|903|18173
ESA|2642768|903|18173
TPE|939060|903|18173
NOR|1199163|906|18173
MDV|189571|907|18173
SWE|853750|907|18173
ALG|220012|909|18173
ARG|263435|909|18173
ARG|351895|909|18173
MRI|1165288|909|18173
NZL|1058693|909|18173
PER|2434183|909|18173
BEN|2520949|909|18173
BEN|2520769|909|18173
BEN|2500858|909|18173
BEN|1159082|909|18173
BEN|1531859|909|18173
TPE|1617329|909|18173
CUB|2897666|909|18173
ARG|2932452|909|18173
PER|2966371|909|18173
MRI|2594140|909|18173
MRI|2594368|909|18173
MRI|2988393|909|18173
BEN|2523056|909|18173
SWE|108297|928|18173
SWE|1010186|928|18173
ZAM|1301411|928|18173
ZAM|1304583|928|18173
EGY|2180115|928|18173
ISR|1665859|933|18173
RUS|2060885|934|18173
TPE|1690255|935|18173
IND|161354|936|18173
INA|1648818|936|18173
GRE|2008487|936|18173
IRI|2163728|936|18173
INA|2143181|936|18173
USA|2535925|936|18173
NZL|2574071|936|18173
ZAM|471936|943|18173
EST|2025341|944|18173
BEN|2158244|945|18173
BUL|108296|946|18173
SWE|1663124|946|18173
BEL|2817755|946|18173
DEN|108071|949|18173
SUR|108680|949|18173
AUS|113333|949|18173
POL|113425|949|18173
KEN|116581|949|18173
UGA|118521|949|18173
SUR|148788|949|18173
KOR|157165|949|18173
PAK|189572|949|18173
NED|196537|949|18173
BRA|199927|949|18173
DOM|201897|949|18173
RSA|208070|949|18173
JAM|261738|949|18173
MOZ|262997|949|18173
MOZ|263007|949|18173
BOT|280289|949|18173
THA|243547|949|18173
TTO|348434|949|18173
ETH|355257|949|18173
ETH|355260|949|18173
ETH|355270|949|18173
BOT|364797|949|18173
MGL|393170|949|18173
MAC|393171|949|18173
DOM|854620|949|18173
DOM|873844|949|18173
SUR|664908|949|18173
SUR|664937|949|18173
BOT|876383|949|18173
INA|1116038|949|18173
INA|1116636|949|18173
TUR|1197764|949|18173
MEX|1079983|949|18173
PAK|1273911|949|18173
MAS|663673|949|18173
THA|1344619|949|18173
IND|1344795|949|18173
BRA|1448996|949|18173
GRE|1146448|949|18173
GUA|1473538|949|18173
MGL|667546|949|18173
MGL|1545461|949|18173
MGL|1545494|949|18173
MEX|1110835|949|18173
SUR|1704579|949|18173
MEX|1110980|949|18173
CIV|1994612|949|18173
CIV|1991342|949|18173
GRE|1483690|949|18173
THA|2019564|949|18173
MEX|1082494|949|18173
ETH|2163942|949|18173
THA|2015624|949|18173
PAK|1521981|949|18173
PAK|1943834|949|18173
DOM|1570325|949|18173
DOM|1570067|949|18173
PAN|1549485|949|18173
PAN|2185282|949|18173
SUR|2255586|949|18173
IND|1210331|949|18173
IND|467462|949|18173
ZAM|1301285|949|18173
RSA|1306244|949|18173
BOT|2329374|949|18173
BOT|1314018|949|18173
THA|2218007|949|18173
THA|2384093|949|18173
AFG|2381229|949|18173
KEN|2404419|949|18173
CIV|2515530|949|18173
AUS|2606513|949|18173
MEX|2455520|949|18173
MEX|2636829|949|18173
ETH|2634374|949|18173
PAR|2693784|949|18173
PAR|2693538|949|18173
BRA|2691204|949|18173
PAR|2693628|949|18173
PAR|2694010|949|18173
DOM|2180871|949|18173
THA|2418063|949|18173
VIE|2433095|949|18173
PAK|2723661|949|18173
PAK|2723706|949|18173
GUF|2743949|949|18173
BOT|2784121|949|18173
MOZ|2777454|949|18173
NEP|2137096|949|18173
IND|2425316|949|18173
IND|2588220|949|18173
IND|2131992|949|18173
UGA|2882747|949|18173
CMR|2992900|949|18173
